candidate,model_key,mae,ndcg_at_10,rmse,spearman,r2,top_10_overlap,rows,gameweeks
Last gameweek,last_gameweek,1.2350388988629564,0.08407704746920625,2.672728373760463,0.6550393514538017,-0.27408418464884643,0.09,6684,10
Three-observation mean,rolling_3_mean,1.1301615798922802,0.15142102367605198,2.2324650485129593,0.691791521749627,0.11108995672596633,0.11000000000000001,6684,10
Training-window mean,training_mean,1.500566425073304,0.0018649565835624272,2.368152216854028,0.0,-0.0002480291722832817,0.02,6684,10
Ridge regression,ridge_regression,1.1102518032379054,0.22609118669179967,2.018857766078002,0.7171045154104341,0.27305773117262,0.16999999999999998,6684,10
